1,的
2,一
3,了
4,是
5,不
6,我
7,在
8,人
9,有
10,这
11,他
12,来
13,个
14,你
15,说
16,上
17,到
18,就
19,着
20,大
21,们
22,道
23,那
24,么
25,也
26,地
27,子
28,下
29,出
30,时
31,看
32,要
33,她
34,中
35,没
36,然
37,里
38,为
39,过
40,自
41,好
42,得
43,去
44,可
45,会
46,天
47,还
48,心
49,后
50,以
51,小
52,都
53,和
54,对
55,想
56,能
57,起
58,之
59,手
60,而
61,只
62,生
63,什
64,身
65,头
66,样
67,事
68,多
69,己
70,家
71,面
72,知
73,开
74,如
75,无
76,现
77,很
78,点
79,前
80,发
81,经
82,情
83,把
84,老
85,些
86,话
87,已
88,又
89,声
90,意
91,于
92,回
93,笑
94,所
95,但
96,眼
97,成
98,方
99,年
100,见
101,当
102,女
103,真
104,两
105,力
106,气
107,从
108,用
109,长
110,动
111,间
112,国
113,走
114,让
115,被
116,给
117,正
118,问
119,打
120,明
121,儿
122,法
123,才
124,几
125,行
126,三
127,定
128,此
129,进
130,再
131,种
132,将
133,实
134,同
135,最
136,本
137,向
138,分
139,十
140,学
141,高
142,第
143,感
144,怎
145,神
146,听
147,边
148,作
149,其
150,吧
151,却
152,口
153,觉
154,啊
155,因
156,白
157,次
158,军
159,做
160,外
161,门
162,光
163,风
164,主
165,住
166,果
167,与
168,全
169,二
170,候
171,公
172,相
173,吗
174,等
175,别
176,色
177,死
178,张
179,部
180,太
181,日
182,少
183,战
184,理
185,直
186,重
187,王
188,像
189,脸
190,比
191,快
192,何
193,水
194,名
195,体
196,呢
197,东
198,叫
199,西
200,应
201,便
202,放
203,马
204,难
205,轻
206,更
207,美
208,位
209,关
210,机
211,接
212,先
213,文
214,处
215,并
216,望
217,常
218,完
219,四
220,飞
221,师
222,者
223,安
224,清
225,刚
226,跟
227,月
228,信
229,山
230,爱
231,内
232,龙
233,空
234,带
235,找
236,原
237,入
238,李
239,连
240,吃
241,场
242,平
243,思
244,林
245,变
246,使
247,由
248,受
249,亲
250,命
251,目
252,强
253,男
254,任
255,该
256,路
257,车
258,今
259,海
260,加
261,远
262,活
263,特
264,解
265,电
266,世
267,性
268,表
269,许
270,它
271,立
272,黑
273,金
274,红
275,花
276,转
277,总
278,算
279,城
280,队
281,孩
282,反
283,工
284,始
285,满
286,新
287,兵
288,物
289,离
290,非
291,虽
292,云
293,似
294,万
295,至
296,干
297,通
298,认
299,失
300,火
301,哥
302,士
303,五
304,惊
305,魔
306,竟
307,姐
308,乎
309,剑
310,往
311,量
312,早
313,结
314,怕
315,流
316,突
317,坐
318,斯
319,音
320,紧
321,指
322,拉
323,杀
324,半
325,记
326,且
327,利
328,合
329,倒
330,书
331,度
332,微
333,步
334,教
335,喜
336,越
337,影
338,谁
339,冷
340,深
341,告
342,落
343,象
344,容
345,怪
346,传
347,钱
348,提
349,言
350,随
351,每
352,双
353,服
354,击
355,武
356,哪
357,数
358,站
359,奇
360,房
361,管
362,灵
363,刻
364,题
365,衣
366,周
367,静
368,伤
369,百
370,拿
371,妈
372,办
373,星
374,化
375,功
376,绝
377,系
378,般
379,必
380,业
381,尔
382,件
383,血
384,代
385,精
386,弟
387,终
388,近
389,条
390,青
391,界
392,司
393,整
394,欢
395,字
